"";"Platform";"Year";"Genre";"Rating";"PublisherR";"Critic_Score";"Critic_Count";"Global_Sales"
"409";"PS3";"2013";"Action";"E10+";"Other";75;21;0,97
"410";"PC";"2012";"Role-Playing";"M";"Electronic Arts";89;23;0,97
"411";"X360";"2011";"Action";"E10+";"Activision";78;35;0,97
"412";"PC";"2012";"Shooter";"M";"Ubisoft";88;43;0,96
"413";"PS4";"2015";"Shooter";"M";"Take-Two";76;46;0,96
"414";"PS3";"2013";"Action";"M";"Electronic Arts";76;37;0,96
"415";"PC";"2012";"Simulation";"E";"Other";65;12;0,96
"416";"Wii";"2010";"Misc";"T";"Activision";77;26;0,96
"417";"PC";"2011";"Action";"M";"Namco";88;76;0,96
"418";"PS3";"2012";"Shooter";"M";"Other";70;21;0,96
"419";"3DS";"2012";"Sports";"E";"Other";69;58;0,95
"420";"3DS";"2011";"Simulation";"E";"Other";71;64;0,95
"421";"PS3";"2012";"Action";"T";"Other";74;69;0,95
"422";"PS3";"2013";"Action";"E";"Other";78;39;0,95
"423";"PS3";"2012";"Shooter";"M";"Ubisoft";79;18;0,95
"424";"PS3";"2011";"Racing";"T";"Ubisoft";79;53;0,95
"425";"X360";"2010";"Shooter";"M";"Electronic Arts";73;79;0,95
"426";"PS3";"2010";"Shooter";"T";"Other";68;56;0,95
"427";"PS3";"2011";"Action";"E10+";"Other";73;42;0,95
"428";"3DS";"2011";"Shooter";"E10+";"Other";81;65;0,94
"429";"PS3";"2013";"Action";"M";"Ubisoft";84;27;0,94
"430";"PS3";"2011";"Action";"E10+";"Activision";77;18;0,94
"431";"PS3";"2013";"Fighting";"T";"Namco";77;32;0,93
"432";"XOne";"2014";"Role-Playing";"M";"Electronic Arts";85;28;0,93
"433";"PS4";"2014";"Action";"E10+";"Other";73;43;0,93
"434";"X360";"2011";"Misc";"E10+";"Activision";39;5;0,93
"435";"PS3";"2014";"Action";"E10+";"Other";80;5;0,93
"436";"PC";"2012";"Action";"M";"Ubisoft";80;21;0,93
"437";"PC";"2012";"Shooter";"M";"Take-Two";89;38;0,93
"438";"3DS";"2013";"Adventure";"E";"Other";71;27;0,92
"439";"X360";"2010";"Sports";"E";"Electronic Arts";86;29;0,92
"440";"PS4";"2015";"Sports";"E";"Other";80;44;0,92
"441";"PS3";"2014";"Role-Playing";"M";"Ubisoft";85;31;0,92
"442";"X360";"2014";"Role-Playing";"M";"Ubisoft";82;33;0,92
"443";"PS3";"2012";"Sports";"E";"Other";87;23;0,92
"444";"X360";"2010";"Action";"M";"Electronic Arts";73;71;0,92
"445";"Wii";"2011";"Misc";"E10+";"Other";60;34;0,92
"446";"3DS";"2012";"Action";"E";"Other";74;21;0,91
"447";"PS3";"2010";"Sports";"E";"Electronic Arts";78;20;0,91
"448";"Wii";"2010";"Role-Playing";"T";"Other";92;59;0,91
"449";"PS3";"2011";"Action";"T";"Other";57;25;0,91
"450";"XOne";"2013";"Sports";"E";"Take-Two";86;15;0,91
"451";"PS3";"2012";"Sports";"E";"Electronic Arts";81;38;0,91
"452";"XOne";"2015";"Action";"M";"Other";71;24;0,9
"453";"X360";"2013";"Shooter";"M";"Electronic Arts";76;45;0,9
"454";"X360";"2012";"Action";"M";"Namco";88;82;0,9
"455";"PS3";"2011";"Shooter";"M";"Other";70;60;0,9
"456";"PS4";"2015";"Action";"E10+";"Other";70;46;0,9
"457";"PC";"2014";"Role-Playing";"M";"Other";71;64;0,9
"458";"PS4";"2013";"Sports";"E";"Electronic Arts";74;13;0,9
"459";"3DS";"2013";"Action";"E10+";"Other";61;4;0,9
"460";"X360";"2010";"Sports";"E";"Other";68;11;0,89
"461";"PS3";"2011";"Shooter";"M";"Other";67;64;0,89
"462";"X360";"2012";"Sports";"E";"Electronic Arts";77;47;0,89
"463";"PS3";"2011";"Sports";"E";"Electronic Arts";80;41;0,89
"464";"PS3";"2012";"Action";"E";"Electronic Arts";79;9;0,89
"465";"PS3";"2011";"Action";"T";"Other";78;37;0,88
"466";"X360";"2010";"Racing";"E";"Other";84;43;0,88
"467";"3DS";"2012";"Action";"M";"Other";82;78;0,88
"468";"X360";"2010";"Misc";"T";"Other";93;57;0,88
"469";"X360";"2010";"Fighting";"T";"Other";75;49;0,88
"470";"PS4";"2015";"Shooter";"M";"Take-Two";82;49;0,88
"471";"X360";"2012";"Action";"M";"Other";80;47;0,87
"472";"X360";"2012";"Role-Playing";"M";"Electronic Arts";80;71;0,87
"473";"X360";"2011";"Misc";"E10+";"Ubisoft";63;31;0,87
"474";"PS3";"2012";"Action";"E";"Other";73;69;0,87
"475";"PS3";"2013";"Shooter";"M";"Electronic Arts";77;23;0,87
"476";"PS4";"2015";"Misc";"T";"Activision";80;69;0,86
"477";"X360";"2010";"Misc";"T";"Activision";72;65;0,86
"478";"X360";"2010";"Sports";"E";"Electronic Arts";83;61;0,85
"479";"PS3";"2012";"Role-Playing";"M";"Electronic Arts";81;34;0,85
"480";"PS3";"2012";"Fighting";"T";"Namco";82;50;0,85
"481";"PS3";"2010";"Sports";"E";"Electronic Arts";85;22;0,85
"482";"PS3";"2010";"Shooter";"M";"Electronic Arts";74;56;0,85
"483";"PS3";"2012";"Action";"M";"Other";84;39;0,84
"484";"PS3";"2012";"Role-Playing";"T";"Namco";71;59;0,84
"485";"PS3";"2013";"Sports";"E";"Electronic Arts";77;9;0,84
"486";"X360";"2012";"Shooter";"M";"Other";67;37;0,84
"487";"X360";"2011";"Shooter";"M";"Take-Two";49;76;0,83
"488";"PS3";"2011";"Sports";"E";"Electronic Arts";82;17;0,83
"489";"PS3";"2010";"Sports";"E";"Electronic Arts";78;40;0,83
"490";"PS3";"2012";"Fighting";"T";"Other";84;51;0,83
"491";"3DS";"2011";"Role-Playing";"T";"Namco";75;33;0,83
"492";"PS3";"2011";"Action";"M";"Electronic Arts";82;52;0,83
"493";"Wii";"2011";"Shooter";"M";"Activision";70;16;0,82
"494";"X360";"2010";"Misc";"T";"Activision";86;66;0,82
"495";"PS3";"2012";"Action";"M";"Other";74;27;0,82
"496";"X360";"2012";"Misc";"T";"Other";86;43;0,81
"497";"XOne";"2013";"Sports";"E";"Electronic Arts";73;18;0,81
"498";"PS3";"2010";"Misc";"T";"Activision";74;46;0,81
"499";"PS3";"2010";"Fighting";"T";"Namco";60;27;0,81
"500";"PSV";"2013";"Shooter";"M";"Other";78;86;0,8
"501";"PSV";"2013";"Role-Playing";"T";"Other";86;14;0,8
"502";"PS3";"2013";"Action";"M";"Other";85;40;0,79
"503";"X360";"2012";"Action";"M";"Other";83;63;0,79
"504";"X360";"2013";"Racing";"E10+";"Electronic Arts";76;12;0,79
"505";"X360";"2012";"Action";"M";"Activision";74;69;0,79
"506";"X360";"2012";"Role-Playing";"M";"Other";75;59;0,79
"507";"PS4";"2015";"Sports";"E";"Other";87;54;0,79
"508";"XOne";"2015";"Misc";"M";"Other";84;75;0,79
"509";"PS3";"2011";"Shooter";"M";"Other";53;17;0,79
"510";"PS3";"2014";"Sports";"T";"Take-Two";55;5;0,78
"511";"X360";"2010";"Fighting";"T";"Namco";74;31;0,78
"512";"X360";"2011";"Fighting";"M";"Electronic Arts";86;59;0,78
"513";"X360";"2013";"Action";"M";"Other";57;43;0,78
"514";"PS3";"2011";"Shooter";"T";"Activision";72;38;0,78
"515";"X360";"2011";"Platform";"E10+";"Ubisoft";87;55;0,78
"516";"X360";"2013";"Shooter";"M";"Other";48;47;0,77
"517";"Wii";"2011";"Misc";"E10+";"Ubisoft";66;5;0,77
"518";"X360";"2012";"Action";"M";"Other";52;56;0,77
"519";"X360";"2011";"Sports";"E";"Other";70;36;0,77
"520";"3DS";"2011";"Simulation";"T";"Electronic Arts";52;29;0,76
"521";"PC";"2011";"Shooter";"E10+";"Other";95;52;0,76
"522";"PS3";"2011";"Shooter";"M";"Take-Two";51;48;0,76
"523";"Wii";"2010";"Action";"T";"Other";71;10;0,76
"524";"XOne";"2015";"Action";"M";"Other";95;10;0,75
"525";"Wii";"2011";"Action";"E";"Other";60;18;0,75
"526";"PS3";"2010";"Misc";"T";"Activision";86;46;0,75
"527";"3DS";"2012";"Action";"E10+";"Other";72;6;0,75
"528";"PS3";"2012";"Fighting";"T";"Namco";81;53;0,75
"529";"PS4";"2014";"Sports";"E";"Other";82;56;0,75
"530";"Wii";"2010";"Adventure";"E10+";"Ubisoft";62;24;0,75
"531";"X360";"2014";"Role-Playing";"T";"Namco";91;30;0,74
"532";"PC";"2011";"Action";"M";"Ubisoft";80;20;0,74
"533";"PS3";"2012";"Action";"M";"Activision";79;39;0,74
"534";"PS3";"2013";"Action";"M";"Other";74;30;0,74
"535";"PS3";"2011";"Action";"T";"Namco";77;28;0,74
"536";"PC";"2011";"Action";"M";"Electronic Arts";86;42;0,74
"537";"PS3";"2013";"Sports";"E";"Other";87;36;0,74
"538";"PC";"2014";"Role-Playing";"M";"Electronic Arts";85;45;0,73
"539";"PS3";"2010";"Role-Playing";"T";"Other";72;42;0,73
"540";"3DS";"2012";"Simulation";"E";"Other";76;5;0,73
"541";"X360";"2011";"Role-Playing";"T";"Other";79;50;0,73
"542";"PS3";"2012";"Fighting";"T";"Other";86;47;0,73
"543";"PS3";"2011";"Shooter";"T";"Other";72;39;0,73
"544";"X360";"2010";"Sports";"E10+";"Electronic Arts";88;49;0,73
"545";"PS4";"2015";"Action";"E10+";"Other";80;53;0,73
"546";"PS3";"2012";"Fighting";"T";"Namco";74;23;0,73
"547";"Wii";"2010";"Misc";"E";"Electronic Arts";65;9;0,72
"548";"PC";"2013";"Strategy";"T";"Other";76;71;0,72
"549";"PS3";"2010";"Role-Playing";"T";"Other";74;45;0,72
"550";"3DS";"2014";"Role-Playing";"M";"Other";83;56;0,72
"551";"PS4";"2014";"Sports";"E";"Other";83;17;0,72
"552";"X360";"2014";"Shooter";"M";"Take-Two";74;16;0,72
"553";"PC";"2015";"Role-Playing";"M";"Namco";93;32;0,72
"554";"X360";"2011";"Racing";"E";"Other";84;61;0,72
"555";"PS3";"2010";"Sports";"E";"Other";91;33;0,72
"556";"PS3";"2010";"Racing";"E10+";"Activision";81;58;0,72
"557";"PC";"2010";"Shooter";"M";"Electronic Arts";87;46;0,72
"558";"X360";"2011";"Racing";"T";"Other";87;81;0,72
"559";"PC";"2012";"Strategy";"M";"Take-Two";89;57;0,71
"560";"X360";"2012";"Sports";"E";"Electronic Arts";82;65;0,7
"561";"PS3";"2011";"Adventure";"M";"Other";79;61;0,7
"562";"X360";"2011";"Sports";"E10+";"Electronic Arts";86;56;0,7
"563";"X360";"2011";"Simulation";"T";"Other";43;18;0,7
"564";"X360";"2011";"Racing";"T";"Ubisoft";80;63;0,7
"565";"PS3";"2010";"Shooter";"T";"Activision";65;49;0,7
"566";"X360";"2010";"Sports";"T";"Ubisoft";40;30;0,69
"567";"XOne";"2014";"Shooter";"E10+";"Electronic Arts";76;65;0,69
"568";"XOne";"2013";"Racing";"E10+";"Electronic Arts";75;18;0,69
"569";"PS3";"2010";"Action";"T";"Ubisoft";75;49;0,69
"570";"PC";"2011";"Simulation";"T";"Electronic Arts";77;56;0,69
"571";"PS3";"2011";"Sports";"E";"Take-Two";82;37;0,69
"572";"PS3";"2010";"Platform";"E10+";"Other";85;46;0,68
"573";"PS4";"2014";"Shooter";"M";"Other";67;41;0,68
"574";"XOne";"2014";"Shooter";"M";"Other";79;18;0,68
"575";"Wii";"2012";"Action";"E10+";"Other";82;6;0,67
"576";"PC";"2011";"Role-Playing";"T";"Other";84;59;0,67
"577";"XOne";"2014";"Action";"M";"Other";79;24;0,67
"578";"PS4";"2014";"Action";"E10+";"Other";71;31;0,67
"579";"X360";"2013";"Action";"T";"Other";81;39;0,67
"580";"PS4";"2015";"Racing";"E";"Other";65;46;0,66
"581";"X360";"2010";"Action";"M";"Other";83;70;0,66
"582";"X360";"2012";"Sports";"E10+";"Electronic Arts";83;44;0,66
"583";"PC";"2010";"Strategy";"T";"Other";81;56;0,66
"584";"PC";"2013";"Shooter";"M";"Take-Two";94;68;0,66
"585";"PS3";"2012";"Action";"M";"Other";67;37;0,66
"586";"PS3";"2010";"Action";"M";"Other";60;30;0,66
"587";"PS3";"2013";"Action";"T";"Namco";71;35;0,66
"588";"XOne";"2015";"Action";"E10+";"Other";70;17;0,65
"589";"PSV";"2014";"Role-Playing";"T";"Other";73;39;0,65
"590";"PSV";"2012";"Fighting";"M";"Other";85;51;0,65
"591";"Wii";"2011";"Role-Playing";"T";"Other";80;61;0,65
"592";"PSV";"2014";"Shooter";"M";"Take-Two";64;31;0,64
"593";"PC";"2013";"Action";"M";"Ubisoft";84;10;0,64
"594";"X360";"2014";"Sports";"T";"Take-Two";50;5;0,64
"595";"3DS";"2011";"Platform";"E";"Ubisoft";61;39;0,64
"596";"PC";"2013";"Sports";"E";"Other";85;41;0,64
"597";"PS3";"2010";"Action";"T";"Other";61;37;0,64
"598";"XOne";"2014";"Racing";"T";"Ubisoft";64;18;0,64
"599";"X360";"2010";"Fighting";"T";"Namco";57;33;0,64
"600";"PS3";"2012";"Sports";"E10+";"Electronic Arts";84;22;0,64
"601";"PS3";"2012";"Fighting";"M";"Other";74;34;0,64
"602";"XOne";"2015";"Shooter";"M";"Take-Two";74;31;0,64
"603";"Wii";"2010";"Misc";"T";"Other";91;10;0,63
"604";"PC";"2011";"Action";"M";"Electronic Arts";82;45;0,63
"605";"PC";"2014";"Shooter";"M";"Ubisoft";80;17;0,63
"606";"PS3";"2010";"Role-Playing";"T";"Other";60;45;0,63
"607";"X360";"2013";"Shooter";"M";"Activision";32;30;0,63
"608";"PC";"2011";"Simulation";"T";"Electronic Arts";70;22;0,63
"609";"3DS";"2012";"Action";"E";"Activision";62;7;0,63
"610";"PC";"2013";"Shooter";"M";"Electronic Arts";76;47;0,63
"611";"PS4";"2015";"Sports";"E10+";"Electronic Arts";78;28;0,63
"612";"X360";"2012";"Strategy";"M";"Take-Two";90;35;0,62
"613";"PS3";"2011";"Misc";"E10+";"Ubisoft";75;5;0,62
"614";"3DS";"2011";"Action";"E10+";"Other";71;16;0,62
"615";"Wii";"2010";"Shooter";"T";"Ubisoft";80;73;0,62
"616";"X360";"2010";"Action";"T";"Ubisoft";74;69;0,62
"617";"PS3";"2011";"Action";"T";"Other";70;17;0,62
"618";"Wii";"2010";"Misc";"T";"Activision";88;20;0,62
"619";"X360";"2011";"Sports";"E";"Electronic Arts";80;50;0,62
"620";"PS3";"2010";"Role-Playing";"M";"Other";68;58;0,61
"621";"PS3";"2014";"Sports";"E";"Electronic Arts";73;33;0,61
"622";"3DS";"2011";"Simulation";"E";"Other";56;6;0,61
"623";"3DS";"2012";"Action";"E10+";"Other";73;13;0,61
"624";"PS4";"2014";"Shooter";"E10+";"Electronic Arts";75;23;0,61
"625";"PS3";"2011";"Action";"E10+";"Other";70;29;0,61
"626";"PS3";"2010";"Shooter";"M";"Other";84;61;0,61
"627";"PSV";"2013";"Adventure";"E";"Other";87;82;0,61
"628";"PS3";"2014";"Shooter";"M";"Take-Two";77;24;0,61
"629";"X360";"2010";"Sports";"E";"Other";79;43;0,61
"630";"PS3";"2011";"Fighting";"T";"Namco";58;26;0,61
"631";"Wii";"2010";"Misc";"E10+";"Namco";59;14;0,61
"632";"PS3";"2013";"Shooter";"M";"Other";43;25;0,6
"633";"PS3";"2011";"Shooter";"M";"Other";64;55;0,6
"634";"PS3";"2013";"Action";"M";"Other";62;25;0,6
"635";"XOne";"2014";"Sports";"E10+";"Other";60;53;0,6
"636";"PS3";"2013";"Action";"T";"Other";68;26;0,6
"637";"X360";"2010";"Fighting";"T";"Ubisoft";32;38;0,6
"638";"X360";"2010";"Racing";"E10+";"Other";82;78;0,6
"639";"PS4";"2014";"Action";"E10+";"Other";72;47;0,6
"640";"PS4";"2014";"Sports";"E10+";"Electronic Arts";60;28;0,6
"641";"PC";"2011";"Strategy";"T";"Other";90;62;0,6
"642";"PS3";"2010";"Sports";"E10+";"Electronic Arts";88;38;0,59
"643";"PS3";"2012";"Action";"M";"Other";83;34;0,59
"644";"XOne";"2015";"Sports";"T";"Take-Two";72;18;0,59
"645";"PC";"2011";"Action";"M";"Ubisoft";88;24;0,59
"646";"X360";"2010";"Racing";"E10+";"Activision";82;78;0,59
"647";"PS3";"2014";"Action";"M";"Other";66;5;0,59
"648";"PS3";"2010";"Fighting";"T";"Other";48;39;0,59
"649";"PC";"2011";"Shooter";"M";"Other";90;52;0,58
"650";"X360";"2012";"Fighting";"T";"Namco";77;56;0,58
"651";"X360";"2010";"Misc";"E";"Other";33;6;0,58
"652";"PS3";"2011";"Sports";"E";"Other";90;30;0,58
"653";"X360";"2012";"Adventure";"E";"Other";68;31;0,58
"654";"PS3";"2011";"Adventure";"M";"Electronic Arts";70;51;0,58
"655";"3DS";"2013";"Role-Playing";"M";"Other";83;48;0,58
"656";"PS3";"2011";"Sports";"E10+";"Electronic Arts";86;33;0,58
"657";"PS3";"2013";"Fighting";"T";"Namco";71;53;0,58
"658";"PS3";"2013";"Platform";"E10+";"Ubisoft";91;23;0,58
"659";"PSV";"2012";"Sports";"E";"Electronic Arts";79;45;0,58
"660";"Wii";"2011";"Action";"E10+";"Other";76;4;0,57
"661";"X360";"2013";"Shooter";"M";"Other";75;18;0,57
"662";"PS3";"2012";"Strategy";"M";"Take-Two";89;20;0,57
"663";"3DS";"2011";"Action";"E10+";"Activision";82;8;0,57
"664";"PS3";"2010";"Misc";"T";"Other";91;34;0,57
"665";"XOne";"2014";"Sports";"T";"Take-Two";56;25;0,57
"666";"X360";"2013";"Shooter";"M";"Other";60;27;0,57
"667";"PS3";"2011";"Role-Playing";"T";"Other";80;39;0,57
"668";"PS3";"2012";"Shooter";"M";"Other";67;16;0,57
"669";"X360";"2011";"Action";"E10+";"Other";66;31;0,57
"670";"3DS";"2012";"Role-Playing";"E10+";"Other";78;33;0,57
"671";"PC";"2014";"Shooter";"M";"Electronic Arts";86;29;0,56
"672";"X360";"2011";"Shooter";"M";"Other";76;57;0,56
"673";"PSV";"2012";"Action";"T";"Other";83;73;0,56
"674";"PS3";"2011";"Action";"M";"Other";84;58;0,55
"675";"PS3";"2010";"Action";"T";"Namco";80;53;0,55
"676";"XOne";"2015";"Misc";"T";"Activision";81;21;0,55
"677";"PSV";"2011";"Sports";"E";"Other";76;55;0,55
"678";"PS4";"2015";"Action";"M";"Other";75;30;0,55
"679";"Wii";"2011";"Platform";"E10+";"Ubisoft";92;13;0,55
"680";"PC";"2014";"Action";"M";"Ubisoft";70;10;0,55
"681";"X360";"2011";"Racing";"E";"Other";63;43;0,55
"682";"PC";"2010";"Action";"M";"Ubisoft";86;22;0,55
"683";"PS3";"2013";"Platform";"E10+";"Other";75;69;0,54
"684";"PS3";"2012";"Shooter";"M";"Take-Two";77;27;0,54
"685";"PS3";"2013";"Sports";"E10+";"Electronic Arts";80;22;0,54
"686";"PS3";"2013";"Racing";"E";"Other";77;22;0,54
"687";"PSV";"2012";"Platform";"E10+";"Ubisoft";88;54;0,54
"688";"X360";"2010";"Action";"T";"Namco";82;72;0,54
"689";"PS3";"2012";"Sports";"E";"Electronic Arts";75;14;0,54
"690";"PS3";"2010";"Action";"T";"Other";58;18;0,54
"691";"Wii";"2010";"Sports";"E";"Electronic Arts";84;29;0,54
"692";"X360";"2010";"Shooter";"M";"Other";77;83;0,54
"693";"3DS";"2014";"Role-Playing";"E10+";"Other";69;57;0,54
"694";"X360";"2011";"Fighting";"T";"Namco";55;24;0,54
"695";"X360";"2011";"Role-Playing";"M";"Other";67;50;0,54
"696";"X360";"2013";"Sports";"E10+";"Electronic Arts";81;30;0,54
"697";"Wii";"2010";"Action";"T";"Electronic Arts";41;8;0,54
"698";"PS3";"2010";"Shooter";"T";"Namco";58;49;0,54
"699";"Wii";"2010";"Fighting";"T";"Other";85;62;0,53
"700";"PS3";"2013";"Role-Playing";"T";"Other";82;62;0,53
"701";"XOne";"2014";"Misc";"E10+";"Ubisoft";70;17;0,53
"702";"XOne";"2014";"Action";"E10+";"Other";69;18;0,53
"703";"PC";"2015";"Strategy";"T";"Activision";88;62;0,53
"704";"PC";"2011";"Action";"T";"Other";91;27;0,53
"705";"PS3";"2011";"Shooter";"M";"Electronic Arts";83;57;0,53
"706";"PS3";"2011";"Misc";"E10+";"Ubisoft";66;11;0,52
"707";"X360";"2010";"Sports";"E";"Electronic Arts";79;51;0,52
"708";"X360";"2011";"Misc";"E";"Other";79;26;0,52
"709";"PS4";"2015";"Action";"E";"Electronic Arts";61;33;0,52
"710";"PS3";"2010";"Misc";"T";"Other";65;21;0,52
"711";"PS4";"2014";"Role-Playing";"M";"Other";68;45;0,52
"712";"X360";"2012";"Action";"E";"Other";59;35;0,51
"713";"PSV";"2013";"Role-Playing";"M";"Other";77;71;0,51
"714";"PS3";"2011";"Role-Playing";"T";"Other";67;46;0,51
"715";"PS3";"2013";"Shooter";"M";"Activision";34;14;0,51
"716";"X360";"2010";"Sports";"E";"Take-Two";76;26;0,51
"717";"Wii";"2010";"Adventure";"E10+";"Other";69;18;0,51
"718";"XOne";"2014";"Shooter";"M";"Other";78;24;0,51
"719";"X360";"2013";"Fighting";"T";"Namco";70;16;0,51
"720";"X360";"2012";"Sports";"E";"Electronic Arts";77;47;0,51
"721";"X360";"2011";"Action";"E";"Other";78;36;0,5
"722";"PSV";"2012";"Shooter";"T";"Other";71;60;0,5
"723";"PS3";"2010";"Strategy";"T";"Ubisoft";76;37;0,5
"724";"3DS";"2012";"Misc";"E10+";"Other";78;60;0,5
"725";"X360";"2011";"Shooter";"T";"Activision";72;56;0,5
"726";"X360";"2012";"Sports";"E";"Take-Two";68;19;0,5
"727";"X360";"2011";"Adventure";"M";"Electronic Arts";70;67;0,5
"728";"3DS";"2011";"Racing";"E";"Namco";75;59;0,49
"729";"3DS";"2011";"Action";"E";"Other";55;57;0,49
"730";"X360";"2012";"Racing";"E";"Other";84;42;0,49
"731";"PS3";"2011";"Fighting";"T";"Other";58;34;0,49
"732";"3DS";"2013";"Platform";"E10+";"Other";59;34;0,49
"733";"X360";"2011";"Action";"T";"Namco";78;71;0,49
"734";"3DS";"2011";"Action";"M";"Other";65;69;0,49
"735";"3DS";"2014";"Misc";"E";"Other";76;22;0,49
"736";"PC";"2010";"Shooter";"M";"Electronic Arts";72;26;0,49
"737";"3DS";"2011";"Racing";"E10+";"Ubisoft";43;37;0,49
"738";"3DS";"2011";"Action";"E10+";"Other";58;55;0,49
"739";"3DS";"2015";"Role-Playing";"T";"Other";81;70;0,49
"740";"PS3";"2011";"Racing";"T";"Other";77;74;0,48
"741";"3DS";"2014";"Sports";"E";"Other";78;73;0,48
"742";"X360";"2012";"Action";"M";"Other";70;64;0,48
"743";"X360";"2013";"Action";"M";"Other";82;46;0,48
"744";"XOne";"2015";"Sports";"E10+";"Electronic Arts";80;18;0,48
"745";"Wii";"2011";"Misc";"E";"Other";68;42;0,48
"746";"X360";"2012";"Shooter";"M";"Other";67;30;0,47
"747";"XOne";"2015";"Misc";"T";"Other";79;27;0,47
"748";"X360";"2010";"Shooter";"T";"Activision";62;66;0,47
"749";"X360";"2012";"Fighting";"T";"Other";83;45;0,47
"750";"PC";"2014";"Action";"T";"Other";87;49;0,47
"751";"PS3";"2012";"Action";"E";"Other";59;36;0,47
"752";"Wii";"2010";"Action";"E";"Other";48;26;0,47
"753";"X360";"2011";"Action";"M";"Other";54;56;0,47
"754";"XOne";"2014";"Sports";"T";"Electronic Arts";70;23;0,47
"755";"3DS";"2012";"Action";"E";"Other";81;14;0,46
"756";"PS4";"2015";"Action";"T";"Namco";74;34;0,46
"757";"PS3";"2011";"Role-Playing";"M";"Other";70;28;0,46
"758";"PC";"2010";"Simulation";"T";"Electronic Arts";74;25;0,46
"759";"PS3";"2011";"Racing";"E";"Other";61;41;0,46
"760";"Wii";"2010";"Racing";"E10+";"Electronic Arts";50;8;0,46
"761";"PS3";"2012";"Action";"M";"Other";64;41;0,46
"762";"Wii";"2010";"Fighting";"T";"Other";72;7;0,46
"763";"XOne";"2013";"Misc";"E10+";"Ubisoft";71;6;0,45
"764";"X360";"2014";"Action";"E10+";"Other";70;4;0,45
"765";"PSV";"2012";"Action";"T";"Other";75;15;0,45
"766";"X360";"2011";"Sports";"E";"Take-Two";69;27;0,45
"767";"PS3";"2011";"Shooter";"M";"Other";71;52;0,45
"768";"PS3";"2011";"Shooter";"M";"Other";74;48;0,45
"769";"X360";"2010";"Action";"T";"Electronic Arts";38;42;0,45
"770";"3DS";"2011";"Fighting";"T";"Other";79;62;0,45
"771";"PC";"2014";"Shooter";"M";"Other";81;23;0,45
"772";"PS3";"2013";"Action";"M";"Activision";61;27;0,45
"773";"PC";"2014";"Action";"M";"Ubisoft";77;18;0,45
"774";"X360";"2011";"Shooter";"M";"Other";75;71;0,45
"775";"Wii";"2010";"Misc";"E";"Other";78;13;0,45
"776";"PS3";"2011";"Shooter";"M";"Other";70;46;0,44
"777";"X360";"2010";"Sports";"E";"Other";44;4;0,44
"778";"PS3";"2011";"Sports";"E";"Other";69;49;0,44
"779";"X360";"2012";"Fighting";"T";"Namco";74;35;0,44
"780";"PS4";"2014";"Action";"E10+";"Activision";78;46;0,44
"781";"X360";"2012";"Action";"T";"Activision";79;52;0,44
"782";"X360";"2013";"Action";"M";"Other";86;65;0,44
"783";"PSV";"2012";"Action";"E";"Electronic Arts";57;9;0,44
"784";"X360";"2011";"Shooter";"E10+";"Ubisoft";84;81;0,44
"785";"PS3";"2010";"Action";"T";"Activision";74;57;0,44
"786";"PS3";"2012";"Action";"M";"Other";58;43;0,43
"787";"XOne";"2015";"Shooter";"M";"Take-Two";80;11;0,43
"788";"PS3";"2014";"Fighting";"T";"Namco";73;26;0,43
"789";"PS3";"2010";"Action";"T";"Other";43;31;0,43
"790";"X360";"2013";"Action";"M";"Activision";62;49;0,43
"791";"XOne";"2014";"Action";"E10+";"Other";74;25;0,43
"792";"PS3";"2014";"Sports";"E";"Other";81;26;0,43
"793";"X360";"2012";"Action";"M";"Other";77;32;0,43
"794";"PS3";"2010";"Role-Playing";"T";"Other";45;31;0,43
"795";"PS3";"2013";"Shooter";"M";"Other";74;12;0,43
"796";"3DS";"2013";"Role-Playing";"E10+";"Other";47;14;0,43
"797";"PS3";"2012";"Misc";"E10+";"Ubisoft";77;5;0,43
"798";"PC";"2012";"Shooter";"M";"Take-Two";87;30;0,43
"799";"PS3";"2010";"Role-Playing";"M";"Other";64;49;0,43
"800";"X360";"2013";"Platform";"E10+";"Ubisoft";90;35;0,43
"801";"X360";"2014";"Sports";"E";"Electronic Arts";74;29;0,42
"802";"PS3";"2010";"Role-Playing";"T";"Other";74;19;0,42
"803";"PSV";"2013";"Action";"T";"Other";61;38;0,42
"804";"PS3";"2012";"Simulation";"M";"Other";73;27;0,42
"805";"Wii";"2010";"Sports";"E";"Electronic Arts";70;19;0,42
"806";"PS4";"2014";"Racing";"E10+";"Ubisoft";79;51;0,42
"807";"Wii";"2010";"Action";"E10+";"Activision";59;11;0,42
"808";"3DS";"2014";"Simulation";"E10+";"Other";76;39;0,42
"809";"X360";"2012";"Shooter";"M";"Take-Two";76;59;0,42
"810";"X360";"2010";"Shooter";"M";"Other";84;70;0,42
"811";"PS3";"2010";"Action";"T";"Other";58;47;0,42
"812";"3DS";"2013";"Action";"M";"Other";46;22;0,42
"813";"PS4";"2013";"Misc";"E10+";"Ubisoft";75;4;0,41
"814";"PS3";"2010";"Action";"T";"Ubisoft";70;30;0,41
"815";"PS3";"2013";"Action";"T";"Other";81;12;0,41
"816";"XOne";"2015";"Action";"E10+";"Other";80;12;0,41
"817";"XOne";"2014";"Sports";"E10+";"Electronic Arts";59;22;0,41
"818";"PS3";"2010";"Misc";"T";"Other";76;41;0,41
